DateTime,AddedIPs,RemovedIPs
1601222502,1,0
1601224477,1,0
1601230746,0,1
1601231673,2,0
1601236782,1,1
1601241932,0,1
1601243430,0,3
1601247780,2,1
1601249678,1,1
1601252035,2,1
1601253324,1,0
1601256874,3,0
1601260480,2,2
1601264074,1,1
1601267678,1,2
1601273862,1,0
1601274880,0,1
1601278468,0,1
1601281129,0,1
1601282238,2,1
1601284294,1,0
1601285705,1,0
1601288734,1,0
1601293465,1,3
1601296481,1,0
1601299013,3,1
1601300078,1,1
1601301202,1,0
1601303140,2,1
1601304637,2,1
1601305858,1,0
1601307272,1,0
1601313227,0,1
1601317210,1,4
1601318376,0,1
1601320423,1,0
1601323712,3,0
1601325274,0,1
1601327592,1,1
1601330369,1,0
1601332482,0,2
1601334708,1,0
1601336095,0,2
1601338479,1,2
1601339683,0,2
1601341170,1,0
1601342737,1,0
1601343279,0,1
1601345199,2,3
1601346340,1,0
1601347841,0,1
1601349315,1,0
1601350873,1,1
1601353549,1,0
1601354818,1,1
1601357679,0,1
1601360086,1,0
1601361751,0,2
1601363416,1,1
1601364885,0,2
1601368476,0,1
1601371544,2,0
1601373253,1,0
1601374538,0,3
1601375675,1,3
1601377482,0,1
1601382876,1,1
1601384695,1,0
1601385942,1,0
1601387448,1,1
1601392916,0,2
1601396488,0,2
1601399678,3,1
1601400875,1,2
1601406240,2,2
1601411679,1,0
1601413055,1,0
1601414734,0,1
1601416236,1,0
1601417435,1,2
1601418891,0,1
1601422482,5,3
1601424974,1,3
1601426087,1,0
1601429138,0,2
1601435168,1,2
1601436880,1,1
1601438169,1,0
1601442543,2,0
1601446104,1,1
1601450131,1,0
1601454162,1,0
1601454877,1,1
1601459759,1,0
1601461515,1,1
1601464163,2,0
1601465677,0,2
1601467795,3,0
1601469046,0,1
1601470237,2,0
1601471389,0,3
1601475099,1,2
1601477382,0,3
1601478891,0,2
1601480074,2,0
1601481461,1,0
1601484568,0,1
1601486738,2,0
1601489350,1,1
1601490875,1,1
1601491972,1,0
1601493222,1,3
1601494621,1,0
1601497540,2,0
1601499224,1,1
1601505290,2,1
1601508110,0,1
1601508878,1,0
1601511341,0,1
1601512481,1,1
1601513733,2,0
1601515366,1,2
1601518266,1,3
1601519988,1,0
1601522736,1,2
1601525408,1,0
1601528222,1,0
1601534082,1,1
1601536599,1,0
1601537686,2,0
1601540736,4,0
1601541290,0,1
1601542408,0,1
1601543990,1,1
1601546080,2,0
1601549432,1,1
1601550849,1,0
1601552074,3,0
1601553285,0,2
1601555071,0,1
1601556862,0,1
1601558080,1,0
1601559318,1,0
1601561864,0,1
1601563833,1,0
1601566491,2,0
1601567985,0,2
1601569124,0,2
1601571045,3,1
1601573134,0,1
1601574241,1,0
1601576253,0,1
1601577276,1,0
1601580345,1,0
1601583350,1,3
1601591678,1,5
1601593400,0,1
1601595282,0,2
1601596405,1,0
1601599835,2,0
1601602485,2,0
1601606089,0,1
1601607916,1,0
1601613294,2,2
1601615184,1,0
1601616888,1,1
1601620475,1,2
1601627675,1,2
1601629691,2,1
1601634355,1,0
1601635839,2,0
1601636942,0,1
1601638493,5,0
1601642090,0,4
1601643218,1,1
1601648303,1,0
1601650244,1,0
1601653245,0,2
1601656471,2,4
1601659490,1,0
1601662048,2,1
1601663580,1,1
1601666734,1,1
1601668094,1,1
1601669671,0,2
1601674470,0,2
1601676632,1,1
1601680360,1,0
1601681686,0,2
1601684495,3,1
1601687609,1,0
1601688889,1,2
1601692483,0,1
1601694877,1,1
1601696072,0,1
1601699681,4,1
1601701158,0,1
1601704515,1,0
1601706339,1,0
1601707847,1,0
1601709284,0,2
1601711267,1,2
1601712889,0,2
1601715395,0,1
1601716549,0,1
1601717674,1,0
1601720731,0,1
1601722251,1,2
1601723850,0,1
1601727087,0,1
1601728666,1,0
1601731107,0,1
1601732087,1,1
1601735674,0,1
1601739810,0,1
1601742335,1,0
1601742877,0,1
1601744123,3,0
1601745600,1,4
1601746480,2,0
1601748239,1,1
1601750080,0,1
1601753677,0,1
1601756741,2,1
1601757949,1,0
1601760098,0,1
1601763815,0,1
1601764486,1,0
1601767355,2,0
1601768081,0,2
1601770717,2,3
1601771685,1,0
1601774607,2,1
1601778874,1,2
1601782478,0,2
1601784378,0,2
1601786087,3,2
1601789033,1,1
1601793284,1,0
1601796332,1,0
1601799944,0,1
1601801450,0,1
1601804083,2,2
1601806096,1,1
1601807480,0,5
1601814887,2,0
1601818469,2,2
1601822090,0,1
1601825096,0,1
1601826641,3,0
1601829286,2,2
1601831726,2,1
1601833073,0,1
1601835815,3,0
1601837121,1,1
1601841871,1,1
1601843684,1,0
1601847287,0,1
1601848917,1,1
1601850874,0,1
1601853587,1,2
1601854488,0,1
1601857539,1,2
1601858083,0,3
1601860487,2,0
1601863966,2,0
1601868887,1,1
1601872497,1,0
1601876086,1,2
1601885844,1,0
1601886874,0,1
1601888387,1,0
1601889934,1,0
1601894090,1,1
1601899619,1,1
1601904887,4,1
1601907059,1,1
1601908488,3,0
1601912076,0,1
1601915682,1,3
1601918737,1,3
1601922874,1,1
